,genes,logFC,AveExpr,t,P.Value,adj.P.Val,B
SERGEF,SERGEF,-7.122382986,-9.91891552,32.69255298,0.996118223,0.973871735,-7.436964242
KCNJ8,KCNJ8,-8.074289026,-1.072693698,-24.29556387,0.999417422,0.990228774,-8.140723969
BMX,BMX,9.044930638,22.93933387,-47.12483411,0.779123241,0.831853243,-6.161431261
AC034231.1,AC034231.1,-8.395669568,-6.561019691,14.19603449,0.999417422,0.904738022,-8.134479874
FTCDNL1,FTCDNL1,-12.71489888,7.048147895,4.371493142,0.999417422,0.999417422,-6.246798776
IAH1,IAH1,-14.07176338,11.2637179,50.43839552,0.999417422,0.999417422,-7.077596376
NXNL2,NXNL2,9.056519754,2.490941864,15.29354767,0.997256012,0.84830949,-7.326721312
NAV2,NAV2,3.950404009,19.17988794,-35.43129499,0.999417422,0.999417422,-7.766290093
TCEA3,TCEA3,-2.997480671,-4.313317081,-30.98517773,0.904738022,0.999417422,-6.784157272
AL450306.1,AL450306.1,-10.33484323,4.995324415,44.68884569,0.581926811,0.999417422,-3.238086768
TMEM98,TMEM98,10.02559525,12.27408657,-50.79648843,0.999417422,0.999417422,-8.094117296
GATA6,GATA6,-13.36300559,11.24859138,-47.43584409,0.996371371,0.834933289,-7.350697333
SNORC,SNORC,4.948828154,-0.435705688,-30.20019861,0.999417422,0.999417422,-8.121458203
SPNS2,SPNS2,-14.94030766,-9.180279768,19.45086939,0.999417422,0.751394089,-7.074131845
FBXW4P1,FBXW4P1,-12.16327937,-0.164548413,46.34670882,0.999417422,0.999417422,-7.190602077
BIRC7,BIRC7,11.90212394,13.92776869,-86.44288154,0.999417422,0.980161468,-7.463863176
KLF3P1,KLF3P1,14.98093206,-12.52470371,30.93978442,0.999965168,0.999417422,-7.00634687
FSIP2-AS1,FSIP2-AS1,14.91771882,-1.285401997,-34.1515335,0.898561611,0.93574385,-7.018448087
Z95114.3,Z95114.3,-11.04761577,1.047693461,-38.5278148,0.913574047,0.967950774,-7.362856862
AL162431.2,AL162431.2,9.01158653,-8.46039276,21.25027372,0.999417422,0.981212953,-7.825992248
DNER,DNER,-12.07605325,16.52661281,91.21478421,0.937501999,0.931085402,-7.188903856
AP000781.1,AP000781.1,-0.187421004,6.759277424,-3.173596413,0.999417422,0.993995976,-5.969105383
AC092053.2,AC092053.2,-12.54957559,-10.53760277,-70.74710424,0.954955361,0.999417422,-6.716121466
CR381670.1,CR381670.1,9.008897053,-14.0964671,-53.96086184,0.999417422,0.999417422,-7.582633433
AC093535.1,AC093535.1,6.062663709,3.127823939,-91.67273487,0.999417422,0.931235011,-7.935780907
AC104958.2,AC104958.2,-2.270393897,-10.04966072,78.69339633,0.996118223,0.999417422,-7.818662154
CLEC11A,CLEC11A,-3.483467603,-8.34866794,48.95983735,0.999417422,0.999417422,-7.469780916
PPIAP72,PPIAP72,-12.94194252,-1.055180124,82.16801385,0.999417422,0.999417422,-5.977654582
AC073869.1,AC073869.1,-5.030567476,3.307652422,-98.41664225,0.996118223,0.999417422,-7.56009317
HOOK2,HOOK2,0.853954005,8.626943127,14.55682176,0.996118223,0.711164656,-6.705034013
LINC01410,LINC01410,-13.72637541,12.04675988,22.35738966,0.999965168,0.999417422,-6.299030653
ESR1,ESR1,-12.09580262,-14.11416618,12.65635574,0.999417422,0.877760954,-5.668389003
LURAP1L,LURAP1L,7.125837939,-10.68921654,-97.23075629,0.999417422,0.999417422,-7.994804886
FAT2,FAT2,-3.931978728,11.50850966,13.45013055,0.856303093,0.984766267,-7.730412418
SLITRK4,SLITRK4,5.56523056,12.19762209,81.10973494,0.723011879,0.990228774,-7.050442372
ACE2,ACE2,10.01651622,-9.45992554,77.31062219,0.981212953,0.999417422,-7.399327094
KCNJ6,KCNJ6,2.068107245,-5.633537574,24.66126256,0.999417422,0.999417422,-6.889234124
STRN4,STRN4,-12.87053702,15.07280394,89.55990402,0.996118223,0.999417422,-7.891194875
TNFAIP8L2,TNFAIP8L2,-8.006503076,8.70409087,95.94364389,0.999417422,0.996118223,-7.795379005
AL162274.3,AL162274.3,7.823622872,-2.621720967,76.41118467,0.999417422,0.982160205,-8.173841777
FZD2,FZD2,0.856409322,-12.43820349,-7.641002282,0.996118223,0.999417422,-6.539327278
TSEN2,TSEN2,-11.92014659,-7.29419446,-23.89085031,0.999266259,0.996118223,-6.932588773
MIR526A2,MIR526A2,-0.257437583,-1.472404305,0.724127377,0.925437477,0.999417422,-6.005458814
MIR3936,MIR3936,-9.039646815,14.68270942,-68.65397516,0.999417422,0.999417422,-8.04751809
STKLD1,STKLD1,-10.95598974,13.51448378,48.22417843,0.999417422,0.999417422,-6.927719745
ZNF615,ZNF615,-12.07273928,5.356609346,98.35031408,0.93574385,0.41718077,-7.578057805
BEX1,BEX1,-8.748919086,-11.13201356,-0.035457632,0.996118223,0.999417422,-7.541965048
PMS2P2,PMS2P2,-2.028327618,-0.437840744,-97.44959343,0.999417422,0.999417422,-6.584242321
SSBP3-AS1,SSBP3-AS1,-11.02417841,7.240483501,-76.19503535,0.999417422,0.999417422,-7.581305124
ADAP1,ADAP1,-0.937721658,10.41663765,63.98766206,0.999417422,0.999417422,-8.031477637
AL138752.2,AL138752.2,-3.188375332,11.21149095,-3.375131202,0.990139133,0.999417422,-6.509634343
CXCL10,CXCL10,8.144046564,9.853061723,-45.48908361,0.999417422,0.962270024,-6.673874319
ARHGEF10,ARHGEF10,6.132119089,10.60620163,-20.31728513,0.999417422,0.996118223,-8.067008746
AC016394.1,AC016394.1,1.963120196,13.60220965,-6.730990291,0.999417422,0.999417422,-6.138887135
SUMF1,SUMF1,-7.02403312,-2.552329441,56.6155553,0.996118223,0.999417422,-6.016939732
AL121772.3,AL121772.3,-15.02892064,-7.76774077,-59.25241814,0.642314381,0.992599342,-7.765271724
AC011498.7,AC011498.7,1.203550107,-1.736650741,-85.14706672,0.999417422,0.999417422,-7.645336665
AC022960.2,AC022960.2,-12.11426135,-15.21467341,-7.977256452,0.999417422,0.999417422,-6.678031062
CLEC3B,CLEC3B,-7.05645961,1.585997093,-28.30523331,0.942564551,0.996118223,-7.531236689
CLEC4D,CLEC4D,14.76630731,-1.395057448,-67.75279974,0.912788508,0.999417422,-6.539118599
AC084125.4,AC084125.4,-0.065873462,18.94955995,-62.14822863,0.999417422,0.999417422,-5.743211961
AC020891.2,AC020891.2,5.199270068,-7.656349256,-90.63467159,0.52064173,0.999417422,-7.65066259
AL022341.1,AL022341.1,-5.994518896,19.11709047,-85.88884515,0.999417422,0.967733957,-7.197322557
NIPBL-DT,NIPBL-DT,-13.04347321,-11.60856834,55.60992524,0.92912434,0.999417422,-6.846916481
AC139530.3,AC139530.3,-14.16037478,-0.810533722,95.04292663,0.999417422,0.999417422,-7.911805354
AL136115.2,AL136115.2,13.68772994,2.842442889,35.65411403,0.999417422,0.789375662,-3.155877702
GFI1,GFI1,7.754649831,-0.496088125,-11.10680121,0.997256012,0.723046862,-6.506741365
AL021707.3,AL021707.3,10.36994702,-2.925430113,80.2470795,0.999417422,0.999417422,-5.496358384
KCNT2,KCNT2,-14.96394438,-3.606314217,-20.27012424,0.999417422,0.980401439,-7.733652519
PRPS2,PRPS2,-13.0251119,14.44922059,62.59042432,0.996118223,0.999417422,-7.453026585
ANKMY1,ANKMY1,3.852360673,-0.228320851,0.553578401,0.919937463,0.999417422,-5.670493957
C8orf37-AS1,C8orf37-AS1,-10.92411261,17.0845564,-22.20043792,0.996118223,0.973871735,-7.97545632
MIATNB,MIATNB,-1.037641658,-16.601721,-54.16727128,0.950199051,0.999417422,-7.352730219
GJB4,GJB4,15.05982669,8.750194984,41.2956715,0.999417422,0.990228774,-7.799843277
AC026368.1,AC026368.1,11.03094609,9.845650931,87.34766203,0.779555375,0.06031722,-7.007467242
TSPOAP1-AS1,TSPOAP1-AS1,4.935264078,-6.065777642,75.96720368,0.971543545,0.996118223,-7.194385342
TMEM26,TMEM26,14.96656293,1.177586663,21.31669991,0.997256012,0.380059597,-7.126410655
AC244453.2,AC244453.2,-9.980772151,1.906983435,-43.85966195,0.999417422,0.791335755,-5.83351764
AC063952.1,AC063952.1,3.979469869,13.12333047,94.92607043,0.999417422,0.997256012,-7.490512936
GTF2H2B,GTF2H2B,9.989637262,4.172049853,-11.07596364,0.999417422,0.999800608,-7.916622266
R3HDM1,R3HDM1,7.640755383,10.77622195,-15.86042015,0.853159263,0.859653459,-5.706166536
PWP1,PWP1,8.400249729,11.96416406,-97.84876705,0.886273443,0.999417422,-8.008622482
AC005912.1,AC005912.1,3.768032848,15.8690419,96.85826225,0.999417422,0.999417422,-6.067549201
ZNF483,ZNF483,13.8547345,-3.968922413,-51.81765507,0.915713739,0.999417422,-7.153819709
SMIM20,SMIM20,2.966826741,-3.359954977,-53.17626949,0.996118223,0.996118223,-7.888398559
AC093334.1,AC093334.1,-5.010753212,14.00606525,97.87864508,0.919937463,0.999417422,-6.796055455
CEP55,CEP55,-10.91309016,9.051355026,-12.73663434,0.999417422,0.999417422,-7.281726564
EIF4A2P2,EIF4A2P2,-8.999401331,10.66727649,6.007238242,0.999417422,0.999417422,-6.713682767
CAPNS1,CAPNS1,-0.923752653,-4.615090706,-91.25614533,0.999417422,0.999417422,-7.240065529
HOXB5,HOXB5,-11.82471646,16.77425718,72.08259935,1.63E-05,0.999417422,-4.480019464
VASH2,VASH2,-13.04905921,3.990006442,64.21069515,0.999417422,0.999417422,-7.533640299
MAGEA10-MAGEA5,MAGEA10-MAGEA5,-9.971126643,3.142834736,88.19498015,0.999417422,0.999417422,-7.273764104
CCNYL1,CCNYL1,-9.977946597,7.591773176,-37.68407911,0.999417422,0.967967875,-8.110305398
NBPF15,NBPF15,-7.909827334,16.08891907,71.55210963,0.928592085,0.999417422,-8.040963505
VIT,VIT,-6.160726816,10.9775938,-55.05439652,0.999417422,0.999417422,-6.950567352
RHOQP1,RHOQP1,0.081763699,-6.0160121,-93.54900493,0.999417422,0.999417422,-6.866094441
SUSD1,SUSD1,7.908147176,8.796768023,-68.63333551,0.905631564,0.999417422,-6.844561922
ZFP37,ZFP37,-1.966949496,13.18303688,-47.24847016,0.986255021,0.996118223,-6.483629638
RN7SL600P,RN7SL600P,-2.964946377,-4.454580404,-26.83303586,0.999417422,0.62143936,-8.048348712
AC134407.3,AC134407.3,-10.88148663,-0.092442272,29.91482914,0.699895772,0.999417422,-7.991288705
TMIGD3,TMIGD3,-0.927580325,-14.57669505,40.36391599,0.999417422,0.999417422,-5.833532822
AC091729.3,AC091729.3,-12.80700953,-11.47257058,75.02117826,0.83509663,0.999417422,-6.963633389
AC139795.2,AC139795.2,-2.918493721,8.350090089,61.85796445,0.069139326,0.999417422,-7.211244177
MT-TE,MT-TE,8.029362416,18.84019653,-62.36880151,0.866943488,0.999417422,-7.231942872
ZNF516,ZNF516,12.99637925,-3.146223176,82.92697747,0.999417422,0.999417422,-6.744681807
CAMK1,CAMK1,7.931813451,0.947721203,55.17550101,0.996118223,0.93574385,-7.848631281
TBCE,TBCE,-2.992124201,25.93656797,0.045870753,0.999417422,0.999417422,-7.352022768
AJM1,AJM1,-10.03230254,1.760142034,17.68562875,0.999417422,0.999417422,-7.569916883
HNRNPA1P8,HNRNPA1P8,8.003459675,-9.133272109,-29.94662028,0.999417422,0.766408329,-8.000354173
AL136040.1,AL136040.1,11.8093423,0.44079375,-42.87217291,0.996118223,0.423335357,-6.817822097
AL022100.1,AL022100.1,2.909581639,12.26737638,-7.297576625,0.999965168,0.999417422,-7.3681415
MYCL,MYCL,-7.098029462,-6.461889511,-24.9562304,0.999417422,0.999417422,-8.049862261
SYTL4,SYTL4,11.81206326,-4.974995245,-73.97800597,0.819803757,0.999417422,-4.14750077
RTN1,RTN1,-15.31457156,-8.496867531,4.362140158,0.999417422,0.974217287,-7.836608227
PIK3CG,PIK3CG,12.01456146,-3.518706272,-72.87887706,0.999417422,0.999417422,-5.318118551
RN7SL3,RN7SL3,-0.044930052,-2.474379282,3.542754037,0.83509663,0.999417422,-8.17596771
FAM69B,FAM69B,6.078229449,-10.49083506,62.69588875,0.93574385,0.35413282,-8.165673415
FBP1,FBP1,-0.047436515,12.91204,65.58354633,0.999417422,0.999417422,-5.858709016
TRPV3,TRPV3,-6.921341936,10.24210782,94.80788292,0.999417422,0.974294963,-7.744204058
AC005392.1,AC005392.1,8.841734313,-4.429185003,-14.97118852,0.961327395,0.999417422,-7.680531709
PCAT19,PCAT19,-10.05354929,5.865996057,-95.3195417,0.999417422,0.999417422,-8.115048182
PCDHB12,PCDHB12,-1.083125237,-2.440011796,0.212931944,0.999417422,0.999417422,-7.218521746
AC007128.2,AC007128.2,-5.968302966,19.49354364,53.86490381,0.981212953,0.590607271,-6.902870288
FOPNL,FOPNL,-13.9499131,14.50898459,14.41751516,0.996118223,0.999417422,-7.335242602
KRT8P39,KRT8P39,9.867822694,7.195001349,-91.54589373,0.999417422,0.999417422,-8.105329562
AC009303.1,AC009303.1,-10.9832064,8.482399904,-14.84642408,0.999417422,0.884957907,-7.511783268
AC084880.4,AC084880.4,-14.04510515,-4.987338477,-45.52015013,0.999417422,0.904738022,-6.878157702
PRRT2,PRRT2,-4.011503137,-11.07931488,42.88839133,0.996371371,0.993863613,-8.014965036
MST1R,MST1R,-3.191935272,9.452586318,15.26940171,0.999417422,0.999417422,-6.696262393
RPL9P9,RPL9P9,-7.929497667,-10.36934047,89.34008756,0.999417422,0.999417422,-8.043481543
SMIM10,SMIM10,10.75710413,-4.205807887,34.26385854,0.999417422,0.999417422,-6.462223265
EDIL3,EDIL3,-4.159646328,8.932803756,-24.77087037,0.668700559,0.999417422,-7.191157629
LRRC56,LRRC56,8.861442315,-10.19922476,-57.44420718,0.999417422,0.999417422,-8.11649382
RN7SL138P,RN7SL138P,14.07739971,14.69920011,43.17061277,0.999417422,0.999417422,-2.55017066
PEG13,PEG13,-13.74447668,2.422257429,87.19754088,0.999417422,0.58152909,-8.044785878
ARF4-AS1,ARF4-AS1,-13.05709478,-2.216178499,-31.28675316,0.778580401,0.999417422,-6.820445792
CYB5R2,CYB5R2,11.98946268,16.73842846,-59.27072607,0.410195495,0.967950774,-7.074162395
NUDCD1,NUDCD1,3.959304864,-8.254445555,59.05872044,0.999417422,0.984854852,-6.728220389
ABHD17AP1,ABHD17AP1,-12.93704058,-3.123242937,46.51984019,0.999417422,0.999417422,-4.767623036
AC022730.4,AC022730.4,-8.272217633,11.47319761,74.58453391,0.777030264,0.999417422,-5.961393472
FLJ31356,FLJ31356,-1.056316718,3.268023794,50.79234504,0.93574385,0.999417422,-7.584557129
C5orf22,C5orf22,-0.133803617,16.66852463,90.91669473,0.996118223,0.873492614,-7.680414538
AC008764.6,AC008764.6,-11.88780807,19.69057209,-8.212079255,0.999417422,0.999417422,-6.35021834
PCDHGA8,PCDHGA8,14.08981832,8.204471408,-49.86096519,0.959279179,0.999417422,-7.41053065
MBNL1-AS1,MBNL1-AS1,-13.797989,-5.839592029,-1.025126795,0.999417422,0.999417422,-7.050098968
AC104785.1,AC104785.1,-4.275920577,-15.59085618,61.78151214,0.931085402,0.999417422,-6.845911377
NECAB1,NECAB1,7.934011495,4.516940632,-0.337304862,0.942301554,0.999417422,-7.196379489
CUX1,CUX1,7.981749144,15.49172133,86.71577691,0.999417422,0.973871735,-8.108106736
WT1,WT1,-13.71674544,-9.662119448,-40.16298865,0.999417422,0.999417422,-7.062595842
MTATP6P15,MTATP6P15,-6.997480946,-0.514902288,75.02724982,0.996118223,0.913859321,-5.727233911
CHD5,CHD5,4.988420592,-0.084126248,12.84951714,0.999417422,0.907435125,-6.437497213
RNF112,RNF112,5.000797513,3.544309685,-47.99377871,0.919937463,0.999417422,-6.967277546
ACVR1C,ACVR1C,-9.082601846,-2.073646507,-3.255464363,0.999417422,0.999417422,-5.674309763
AC135279.2,AC135279.2,-7.999828815,9.724448875,-45.99879692,0.996118223,0.999965168,-5.184654954
RPL7P24,RPL7P24,13.86464934,-5.768213303,98.6626171,0.999417422,0.999417422,-7.319831323
KC6,KC6,-10.91859146,-1.481909039,94.35266118,0.999417422,0.590607271,-7.174460953
AC234781.5,AC234781.5,-4.989008728,18.57436357,-71.70538074,0.999417422,0.996118223,-6.838357444
MIR762HG,MIR762HG,-13.05478334,3.400928276,36.47651902,0.697262051,0.93574385,-7.233505279
AC107068.1,AC107068.1,-14.77382414,2.583482649,-96.05537378,0.999417422,0.999417422,-7.710061984
AC099795.1,AC099795.1,-13.02747415,17.97071859,-75.6884053,0.999417422,0.999417422,-8.08263144
YIPF5,YIPF5,-3.960384107,-4.973910042,44.22736577,0.999417422,0.999417422,-3.637687196
DLL1,DLL1,-12.03730887,-6.703630519,-30.22933865,0.791335755,0.890052453,-7.219363258
NCKAP5,NCKAP5,-9.615661836,-10.94161263,-16.20083692,0.617999837,0.787394803,-7.481124492
CCDC152,CCDC152,10.57203284,8.640491104,34.76951809,0.999417422,0.999417422,-7.675460325
PCDHB10,PCDHB10,-10.97202292,-8.171571928,-48.63709392,0.999417422,0.959279179,-6.620917975
AC105052.4,AC105052.4,-1.881379115,-10.71287053,28.42796862,0.999417422,0.472308443,-6.056715175
PRRX1,PRRX1,-12.41068078,4.744623685,54.79338925,0.997510986,0.999417422,-6.770121003
SEPT7-AS1,SEPT7-AS1,7.77083538,-3.708078842,16.30802214,0.999417422,0.999417422,-7.544769374
LRRC28,LRRC28,0.994144688,6.291760278,84.90775889,0.999417422,0.996118223,-7.432565193
AL137077.1,AL137077.1,14.74635835,-0.718624947,-22.68746742,0.999266259,0.999417422,-7.067103913
ELOVL7,ELOVL7,5.123912617,1.616177152,-73.31164305,0.999417422,0.999417422,-6.727845057
HTR7P1,HTR7P1,-5.173852557,-8.934886845,71.58080692,0.765495745,0.865806707,-8.161829303
AC008667.1,AC008667.1,-5.133968431,17.83899467,-3.322186462,0.996118223,0.996118223,-7.409911389
ZNF728,ZNF728,-6.842202474,14.59820348,-28.09510042,0.912788508,0.999417422,-6.905909153
CCRL2,CCRL2,14.9519758,13.89505906,59.88204346,0.999417422,0.999266259,-7.619979579
MEX3A,MEX3A,0.903393013,8.750646975,39.19156504,0.999417422,0.999417422,-8.047587544
HK3,HK3,9.025604908,22.41742447,-39.30678371,0.999417422,0.999417422,-4.750527689
TDRD10,TDRD10,6.888633492,-1.282467396,-50.53659584,0.999417422,0.945044831,-7.973657918
PSMA2,PSMA2,-13.93678972,10.25515108,-0.656617982,0.995333126,0.939164829,-6.849809548
AC093512.1,AC093512.1,-10.7222727,13.39455831,-99.22963297,0.993995976,0.257716764,-7.407665424
HIRA,HIRA,-6.920658542,8.191279421,-5.29315453,0.674447271,0.999417422,-7.546300657
AL158151.1,AL158151.1,-3.985495734,-6.679463483,51.31904767,0.999417422,0.999417422,-7.482304126
TIGAR,TIGAR,-5.95175251,-6.336190296,63.55435816,0.999417422,2.23E-27,-7.015011606
MYO5A,MYO5A,14.98862027,-3.999964094,73.8310969,0.999417422,0.902637463,-7.780894047
SNORD114-20,SNORD114-20,3.960972319,10.29704615,85.77797478,0.254009313,0.939164829,-7.302298306
SV2B,SV2B,-4.098443778,-9.564912306,66.11889926,0.60380169,0.999417422,-7.408082772
AC092653.1,AC092653.1,15.08708343,-3.907330833,-34.68785711,0.967733957,0.999417422,-7.246545807
IL15,IL15,-6.015228524,-8.704093355,-33.3007371,0.999417422,0.996118223,-7.568783872
SPON1-AS1,SPON1-AS1,-9.984080755,-13.08469541,58.16262693,0.997256012,0.931085402,-8.221886973
TMC3,TMC3,-7.899397879,9.248574739,-21.3419411,0.999417422,0.779555375,-8.151534829
AL513548.3,AL513548.3,-3.983139309,-0.610149608,-65.80646751,0.999417422,0.999417422,-8.195787966
ZNF878,ZNF878,9.85734399,11.32575267,77.37287803,0.999417422,0.999417422,-6.956967424
BCAR1,BCAR1,-12.12490189,10.29665532,-8.417251677,0.636307593,0.999417422,-8.193693129
RGS17P1,RGS17P1,2.212818066,-13.93499365,-59.22781484,0.999417422,0.997256012,-8.081272498
KCNJ12,KCNJ12,0.986352406,8.163935831,45.87044865,0.999417422,0.999417422,-6.406066353
AL138902.1,AL138902.1,12.93446035,-13.59252301,-79.41170942,0.303119296,0.999417422,-7.187578824
SERPINB5,SERPINB5,3.862181153,-7.678019611,-87.79191828,0.999417422,0.999417422,-7.266966105
SNORD14A,SNORD14A,14.90097173,4.445654665,70.67022331,0.999417422,0.939164829,-8.214822492
ZNF549,ZNF549,3.954313361,-5.469524595,5.883253811,0.996118223,0.999417422,-6.823648101
NUTM2B,NUTM2B,1.992128784,-0.612794568,71.84260429,0.996118223,0.997256012,-7.343512073
AC087500.1,AC087500.1,7.051457534,1.721822022,-30.46268733,0.490336831,0.898561611,-6.773663543
KCTD21-AS1,KCTD21-AS1,12.91947341,20.54889213,19.70494268,0.992599342,0.93574385,-6.133266854
LINC02435,LINC02435,-9.948092393,12.94370163,-84.67313159,0.83509663,0.939164829,-7.373241232
PLEKHG5,PLEKHG5,-1.213757789,10.44478004,74.02784953,0.999417422,0.999417422,-7.317839601
AGAP11,AGAP11,11.11121735,7.06462438,-19.61829784,0.999417422,0.912870561,-7.553620568
LENG1,LENG1,13.92851368,15.43772095,-51.71274662,0.945044831,0.999417422,-6.169286167
AC099804.1,AC099804.1,-9.960298858,4.604557725,4.388503831,0.587134739,0.954084116,-6.99400921
AC012085.2,AC012085.2,5.983070402,-11.57590333,35.87906587,0.999417422,0.55352885,-6.923874989
AL023775.1,AL023775.1,-1.016946432,-6.839955346,-28.09065468,0.999417422,0.796679046,-7.348872985
HLA-DMB,HLA-DMB,5.945103243,2.359003679,-35.97932687,0.999417422,0.999417422,-7.566020652
FCF1P5,FCF1P5,13.91357532,-3.952896064,-41.67700837,0.999417422,0.996118223,-7.54288707
RIPPLY1,RIPPLY1,13.99138691,-9.579614297,83.94581815,0.999417422,0.807305633,-7.203072477
TAS2R30,TAS2R30,0.855111123,17.19906595,81.05147864,0.999417422,0.908346425,-7.947888088
MIRLET7E,MIRLET7E,13.83390124,17.24021855,-51.98703151,0.999417422,0.999417422,54.66847709
DNLZ,DNLZ,-3.036431246,-6.432628481,19.76415162,0.950536866,0.997256012,-7.277070042
N6AMT1,N6AMT1,-8.9571303,11.57466559,-61.47592974,0.530858618,0.765495745,-6.858108564
CSTF2T,CSTF2T,-1.90300224,-6.178061114,100.4766621,0.999417422,0.941006352,-7.884129694
CHST7,CHST7,15.41732461,-16.22508021,-50.33840167,0.996118223,0.865190717,-7.397300296
PRPF31,PRPF31,12.75509469,15.00108513,-80.62188454,0.999417422,0.428586497,-5.464415827
ADAMTS19-AS1,ADAMTS19-AS1,13.91177057,-4.556942925,49.14527269,0.552255723,0.999417422,-6.572119562
RSPO3,RSPO3,10.72302997,1.034555848,-41.33714765,0.999417422,0.999417422,-7.116673486
RCN3,RCN3,-10.51629654,11.65202168,-69.13973159,0.932700149,0.999417422,2.012581862
BEGAIN,BEGAIN,4.892745468,5.936048672,35.06050697,0.999417422,0.999417422,-8.120619917
